title,link,summary
Can steroids combat population collapse? The Enhanced Games wants to find out.,https://techcrunch.com/2025/10/24/can-steroids-combat-population-collapse-the-enhanced-games-wants-to-find-out/,
"Automattic files counterclaims against WP Engine in WordPress lawsuit, alleging trademark misuse",https://techcrunch.com/2025/10/24/automattic-files-counterclaims-against-wp-engine-in-wordpress-lawsuit-alleging-trademark-misuse/,
"How to use the new ChatGPT app integrations, including Spotify, Figma, Canva, and others",https://techcrunch.com/2025/10/24/how-to-use-the-new-chatgpt-app-integrations-including-spotify-figma-canva-and-others/,
Big Tech is paying for Trump’s White House ballroom,https://techcrunch.com/2025/10/23/big-tech-is-paying-for-trumps-white-house-ballroom/,
"OpenAI wants to power your browser, and that might be a security nightmare",https://techcrunch.com/podcast/openai-wants-to-power-your-browser-and-that-might-be-a-security-nightmare/,
"With an Intel recovery underway, all eyes turn to its foundry business",https://techcrunch.com/2025/10/23/with-an-intel-recovery-underway-all-eyes-turn-to-its-foundry-business/,
Only 4 days until TechCrunch Disrupt 2025 kicks off in San Francisco and ticket rates increase,https://techcrunch.com/2025/10/23/only-4-days-until-techcrunch-disrupt-2025-kicks-off-in-san-francisco-and-ticket-rates-increase/,
Introducing Build Mode: TechCrunch’s new podcast for founders,https://techcrunch.com/2025/10/23/introducing-build-mode-techcrunchs-new-podcast-for-founders/,
Musk’s ad chief at X departs after just 10 months,https://techcrunch.com/2025/10/24/musks-ad-chief-at-x-departs-after-just-10-months/,
A comprehensive list of 2025 tech layoffs,https://techcrunch.com/2025/10/24/tech-layoffs-2025-list/,
"How to use the new ChatGPT app integrations, including Spotify, Figma, Canva, and others",https://techcrunch.com/2025/10/24/how-to-use-the-new-chatgpt-app-integrations-including-spotify-figma-canva-and-others/,
"The browser wars are back, and this time they’re powered by AI",https://techcrunch.com/video/the-browser-wars-are-back-and-this-time-theyre-powered-by-ai/,
Instagram’s latest feature lets you go back to see your watched Reels,https://techcrunch.com/2025/10/24/instagrams-latest-feature-lets-you-go-back-see-your-watched-reels/,
Arbor’s ‘vegetarian rocket engine’ power plant is actually an omnivore,https://techcrunch.com/2025/10/24/arbors-vegetarian-rocket-engine-power-plant-is-actually-an-omnivore/,
EC finds Meta and TikTok breached transparency rules under DSA,https://techcrunch.com/2025/10/24/ec-finds-meta-and-tiktok-breached-transparency-rules-under-dsa/,
"OpenAI wants to power your browser, and that might be a security nightmare",https://techcrunch.com/podcast/openai-wants-to-power-your-browser-and-that-might-be-a-security-nightmare/,
"TechCrunch Disrupt 2025 Side Events schedule:  Women in Tech, MongoDB, Silkroad Innovation Hub, and more to host",https://techcrunch.com/2025/10/24/techcrunch-disrupt-2025-side-events-schedule-women-in-tech-mongodb-silkroad-innovation-hub-and-more-to-host/,
The full breakout session agenda at TechCrunch Disrupt 2025,https://techcrunch.com/2025/10/24/techcrunch-disrupt-2025-breakout-sessions/,
20-year-old dropouts built AI notetaker Turbo AI and grew it to 5 million users,https://techcrunch.com/2025/10/23/20-year-old-dropouts-built-ai-notetaker-turbo-ai-to-5-million-users/,
"Two days after OpenAI’s Atlas, Microsoft relaunches a nearly identical AI browser",https://techcrunch.com/2025/10/23/two-days-after-openais-atlas-microsoft-launches-a-nearly-identical-ai-browser/,
OpenAI launches an AI-powered browser: ChatGPT Atlas,https://techcrunch.com/2025/10/21/openai-launches-an-ai-powered-browser-chatgpt-atlas/,
Meta AI’s app downloads and daily users spiked after launch of ‘Vibes’ AI video feed,https://techcrunch.com/2025/10/20/meta-ais-app-downloads-and-daily-users-spiked-after-launch-of-vibes-ai-video-feed/,
Trump DOE confirms it’s canceling over $700M in manufacturing grants,https://techcrunch.com/2025/10/20/trump-doe-confirms-its-canceling-over-700m-in-manufacturing-grants/,
Kohler unveils a camera for your toilet,https://techcrunch.com/2025/10/19/kohler-unveils-a-camera-for-your-toilet/,
Only 4 days until TechCrunch Disrupt 2025 kicks off in San Francisco and ticket rates increase,https://techcrunch.com/2025/10/23/only-4-days-until-techcrunch-disrupt-2025-kicks-off-in-san-francisco-and-ticket-rates-increase/,
"Announcing the top judges for the final round of Startup Battlefield 200, only at TechCrunch Disrupt 2025",https://techcrunch.com/2025/10/23/announcing-the-top-judges-for-the-final-round-of-startup-battlefield-200-only-at-techcrunch-disrupt-2025/,
Cluely’s Roy Lee joins TechCrunch Disrupt 2025 to show how rage-baiting cuts through the AI noise,https://techcrunch.com/2025/10/23/cluelys-roy-lee-joins-techcrunch-disrupt-2025-to-show-how-rage-baiting-cuts-through-the-ai-noise/,
Get hands-on: The full lineup of interactive roundtables at TechCrunch Disrupt 2025,https://techcrunch.com/2025/10/23/get-hands-on-the-full-techcrunch-disrupt-2025-roundtable-agenda/,
Last-minute ticket deal for TechCrunch Disrupt 2025: Save 60% on your plus-one,https://techcrunch.com/2025/10/20/last-minute-ticket-deal-for-techcrunch-disrupt-2025-save-60-on-your-plus-one/,
"How to use the new ChatGPT app integrations, including Spotify, Figma, Canva, and others",https://techcrunch.com/2025/10/24/how-to-use-the-new-chatgpt-app-integrations-including-spotify-figma-canva-and-others/,
"The browser wars are back, and this time they’re powered by AI",https://techcrunch.com/video/the-browser-wars-are-back-and-this-time-theyre-powered-by-ai/,
"OpenAI wants to power your browser, and that might be a security nightmare",https://techcrunch.com/podcast/openai-wants-to-power-your-browser-and-that-might-be-a-security-nightmare/,
"TechCrunch Disrupt 2025 Side Events schedule:  Women in Tech, MongoDB, Silkroad Innovation Hub, and more to host",https://techcrunch.com/2025/10/24/techcrunch-disrupt-2025-side-events-schedule-women-in-tech-mongodb-silkroad-innovation-hub-and-more-to-host/,
The full breakout session agenda at TechCrunch Disrupt 2025,https://techcrunch.com/2025/10/24/techcrunch-disrupt-2025-breakout-sessions/,
A comprehensive list of 2025 tech layoffs,https://techcrunch.com/2025/10/24/tech-layoffs-2025-list/,
"The browser wars are back, and this time they’re powered by AI",https://techcrunch.com/video/the-browser-wars-are-back-and-this-time-theyre-powered-by-ai/,
"OpenAI wants to power your browser, and that might be a security nightmare",https://techcrunch.com/podcast/openai-wants-to-power-your-browser-and-that-might-be-a-security-nightmare/,
"TechCrunch Disrupt 2025 Side Events schedule:  Women in Tech, MongoDB, Silkroad Innovation Hub, and more to host",https://techcrunch.com/2025/10/24/techcrunch-disrupt-2025-side-events-schedule-women-in-tech-mongodb-silkroad-innovation-hub-and-more-to-host/,
The full breakout session agenda at TechCrunch Disrupt 2025,https://techcrunch.com/2025/10/24/techcrunch-disrupt-2025-breakout-sessions/,
Can AI companies turn brainrot into revenue?,https://techcrunch.com/video/can-ai-companies-turn-brainrot-into-revenue/,
"The browser wars are back, and this time they’re powered by AI",https://techcrunch.com/video/the-browser-wars-are-back-and-this-time-theyre-powered-by-ai/,
Should you trust Tools for Humanity’s iris-scanning orb?,https://techcrunch.com/video/should-you-trust-tools-for-humanitys-iris-scanning-orb/,
Should AI do everything? OpenAI thinks so,https://techcrunch.com/video/should-ai-do-everything-openai-thinks-so/,
This Thiel-backed venture allows doping in its own sports,https://techcrunch.com/video/this-thiel-backed-venture-allows-doping-in-its-own-sports/,
Why Deloitte is betting big on AI despite a $10M refund,https://techcrunch.com/video/why-deloitte-is-betting-big-on-ai-despite-a-10m-refund/,
H-1B visa changes explained: The loophole costing startups talent,https://techcrunch.com/video/h-1b-visa-changes-explained-the-loophole-costing-startups-talent/,
Can AI companies turn brainrot into revenue?,https://techcrunch.com/video/can-ai-companies-turn-brainrot-into-revenue/,
Why California’s new AI safety law succeeded where SB 1047 failed,https://techcrunch.com/video/why-californias-new-ai-safety-law-succeeded-where-sb-1047-failed/,
Everyone’s still throwing billions at AI data centers,https://techcrunch.com/video/everyones-still-throwing-billions-at-ai-data-centers/,
"Chipiron’s big idea: rethinking MRI access, not replacing old machines",https://techcrunch.com/video/chipirons-big-idea-rethinking-mri-access-not-replacing-old-machines/,
